cond,distBin,angleBin,dist_v,angle_v,heading,coord,tbf,spd_diff,tb_off,angleBinSize,distBinSize
F0,3,3,3.8576786978881286,111.61262810077972,44.67033654838229,0.9646641168638597,3.369262533378569,1.3942447372163538,0.23795765756635598,30,1
F0,4,3,4.01919817655115,115.45552771760111,145.1436225276237,0.702649348717905,4.444496349981991,-0.2702439045455307,0.2453718942008031,30,1
F0,3,4,3.7587447664295235,124.17903748123854,169.8369110096248,0.9820835044167057,3.413219895653628,-1.6853550489444924,0.21390156114832157,30,1
F0,3,4,3.187135697310615,132.37282340750676,188.2960191515057,0.9058488679788387,3.7990921385408227,-1.6688247704710057,0.21585427805708746,30,1
F0,2,4,2.671065288828605,142.732820003467,210.37314439404457,0.9468573667959843,3.8247376008934695,-1.883686208210862,0.20075843788328365,30,1
F0,2,5,2.0010110824962077,152.37101304357867,220.93082040431904,0.9104389240567228,3.985766768640522,-1.986005367001051,0.15507883494791724,30,1
F0,1,5,1.4989911516356476,172.59976025951119,223.2675452192602,0.9350060183648256,3.7063037447534666,-1.042765132952783,0.12470177433921628,30,1
F0,1,2,1.024056635253857,65.3873585697362,4.149172254022725,0.9707657684048543,3.1566705003231497,-2.0991262753590636,nan,30,1
F0,0,0,0.49871311487629816,28.136249910451056,355.3272202677106,0.9740648182898226,2.70215129226271,-0.6464444701049904,0.19568104072033476,30,1
F0,0,1,0.6053137074438356,35.99332738358521,0.9147980569154253,0.9807970949401384,2.981986669489359,1.1030499925806614,0.13485271983954375,30,1
F0,0,2,0.7815196453097905,71.65214215313262,42.03625107702094,0.9004159728204242,1.6031499673236305,-0.17570206528606894,0.13101821616347845,30,1
F0,0,3,0.7890831440267306,112.11238681488857,48.11337533102356,0.864567015981009,1.962690605147638,-0.12807049657344016,0.2363755584568088,30,1
F0,0,5,0.6890015893480551,155.82359794068833,128.46767187740608,0.7562766596168584,1.2288072820549534,0.2795799213208654,nan,30,1
F0,0,5,0.9542150333697558,162.12822823142454,135.4119807220027,0.8363292945969424,2.1342526426644537,0.876425131580643,nan,30,1
F0,1,4,1.2433355902313667,135.6035106842163,184.06217737373288,0.9559027772250392,3.760688082749668,1.03039383858797,0.19910997464686847,30,1
F0,1,3,1.7072742681109152,114.92062909963585,180.03598146190623,0.934252393918943,2.9225386273125675,2.0175862303015455,nan,30,1
F0,3,4,3.0455201833103023,120.36125574116909,350.94771167543837,0.7927519869492463,4.149840186874563,1.4838066133522778,nan,30,1
