,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,Fish1_X,Fish1_Y,Fish2_X,Fish2_Y,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Fish1_Speed,Fish2_Speed,Speed_Diff,Spatial_Auto,Sync
2,2021,10,06,57,Y,N,0,individual4xindividual8,2,1494.4827894736843,571.1418421052631,1043.9928421052632,552.2362631578948,2.3341448050177256,-0.09795636760294525,2.336199353810629,-2.346693174834249,66.39763566439717,2.2861169605574445,0.9172498694275337,1.368867091129911,0.7376163395394376,0.47306168492483525
3,2021,10,06,57,Y,N,0,individual4xindividual8,3,1396.531894736842,544.6112105263159,1003.0487894736842,541.8157894736842,2.0387725661303517,-0.014484046904826789,2.0388240149705124,-0.40330266365519063,3.162490059352915,1.0966504619824826,0.5814716559130355,0.5151788060694471,0.9655185703584367,0.47306168492483525
4,2021,10,06,57,Y,N,0,individual4xindividual8,4,1345.4922105263158,532.4973157894736,972.9230526315788,534.7812105263158,1.9304101445323152,0.011833651486228464,1.9304464150607163,0.34781831829950205,7.191609663006528,0.7085094062816907,0.4385724062195521,0.2699370000621385,,0.36185069767842293
5,2021,10,06,57,Y,N,0,individual4xindividual8,5,1305.3254736842105,521.3483684210526,959.582157894737,532.883947368421,1.7914161439869103,0.05976983910553594,1.792412964303604,1.9543862355822597,14.849329240738294,0.8201479009640417,0.2685975481329301,0.5515503528311116,,0.29697762178468234
6,2021,10,06,57,Y,N,0,individual4xindividual8,6,1262.249210526316,511.39910526315794,,,,,,,,0.7047652158138045,,,,0.29697762178468234
0,2021,10,06,57,Y,N,0,individual5xindividual6,0,756.9295263157895,487.79299999999995,1175.1585789473686,298.87147368421057,-2.1669899100081813,-0.9788680119989092,2.377819979517365,-155.5780952834429,62.186895912264035,2.089016013722395,0.520880562004862,1.5681354517175332,0.9117020336722348,0.25310010446018155
1,2021,10,06,57,Y,N,0,individual5xindividual6,1,828.9242105263158,535.8357368421052,1203.6965789473684,306.9946842105263,-1.9418257431142623,-1.1857049359149168,2.2752106301778423,-148.59851913241823,34.0580792821477,1.3921714191174466,0.4822027459013001,0.9099686732161465,0.756004450970704,0.25310010446018155
2,2021,10,06,57,Y,N,0,individual5xindividual6,2,900.5722631578949,522.1356315789474,1228.5670526315791,312.6133157894737,-1.6994548677392967,-1.0856078538314702,2.0166038926331966,-147.43735396160778,12.822223016623637,1.3696391411225837,0.42542959943974046,0.9442095416828427,0.6878258158591715,0.4013202435944385
3,2021,10,06,57,Y,N,0,individual5xindividual6,3,964.7756315789476,513.8975789473684,1251.462315789474,316.9390000000001,-1.4854232342514317,-1.0205107717480226,1.802199883505636,-145.50254204854463,21.671141694954994,1.0003672748349934,0.45134764289750084,0.5490196319374929,,0.42911151968211175
0,2021,10,06,57,Y,N,0,individual7xindividual5,0,1324.429578947368,590.0097894736841,756.9295263157895,487.79299999999995,2.940414780474502,-0.5296206708481047,2.9877311017262764,-10.193910784091843,99.18066293832798,0.2891091730227244,2.089016013722395,-1.7999068406996706,-0.5285052968893338,0.1279552938480255
