,Year,Month,Day,Trial,Tailbeat_Num,Ablation,Darkness,Flow,X_Center,Y_Center,X_SD,Y_SD,School_Polar,School_Speed,School_TB_Freq,NND,Area
1,2021,07,07,06,1,N,Y,2,1193.2993157894737,315.00959680451126,1.805442259419544,0.6248659481192655,0.45916493798650504,3.106192531052771,3.0788906594827647,1.3261845378004948,6.347675181864295
2,2021,07,07,06,2,N,Y,2,1191.4844736842106,300.8040037593984,1.6326818936321732,0.6418277613875262,0.540799125399701,2.5601001613110355,3.281095563990301,1.0120049505385327,6.111522623417653
3,2021,07,07,06,3,N,Y,2,1162.5098712406016,315.2616983082707,1.4360588582450498,0.7055788430473204,0.63493572059815,5.65262951282469,3.5015491163404047,1.115704713391805,5.679760789032839
4,2021,07,07,06,4,N,Y,2,1129.9985986842105,341.9833092105264,1.3451367337106208,0.7675475112529321,0.8881488552032275,2.7272259675027306,3.6349483948405523,0.9306367388224587,5.847327449916706
5,2021,07,07,06,5,N,Y,2,1102.7358890977443,363.7344783834586,1.2423934192170796,0.8564596187137576,0.8981023910787489,3.0361709211391115,3.195574094902371,1.2344174495683327,5.823788329127168
6,2021,07,07,06,6,N,Y,2,1082.1633336072366,374.5423419849623,1.1595143692581797,0.8272223469873505,0.8077589443426302,4.61815452556215,2.7231444230850115,1.6116231794532416,4.650496636302218
7,2021,07,07,06,7,N,Y,2,1049.4079238842105,373.5940665278195,1.1448962216310095,0.7403672669145698,0.6885532699207203,3.09184307962112,3.2036757732187726,1.1485341776611235,3.721896184247003
8,2021,07,07,06,8,N,Y,2,1027.5839679229325,369.5091283296053,1.1528646092235715,0.7140014033967187,0.6324108624439615,5.126907000646412,3.356784204760995,1.2525868702044074,3.3443478201371706
9,2021,07,07,06,9,N,Y,2,1055.1699700508768,354.6627931283208,1.3389287207451606,0.6926656058868874,0.5904158689861817,4.256889205620642,2.468132276085427,1.7019975771680877,3.811389839975287
10,2021,07,07,06,10,N,Y,2,1027.7610634917294,327.26936676766917,1.332277327116397,0.7212833695226241,0.7994076535289598,2.822591912917198,2.245265985081979,1.4908848799236996,5.25118410489499
11,2021,07,07,06,11,N,Y,2,1019.5662894595239,339.9190847052631,1.4288741537813905,0.7504006730925925,0.7357759193481003,4.19889222563849,2.6163066878526777,1.665812871269526,5.641717372077498
12,2021,07,07,06,12,N,Y,2,982.8413386333332,362.953088281579,1.4055914735178716,0.787828931616616,0.581587474537256,7.665821385883703,2.6571299332194283,2.0343990143178696,5.521695589553954
13,2021,07,07,06,13,N,Y,2,1017.8902099370929,338.9331075596491,1.4648497064680421,0.9825183469725157,0.5623486186350516,5.244936971872522,3.1645405898349117,1.8380311049529876,7.1054294778107785
14,2021,07,07,06,14,N,Y,2,976.6477873666666,336.123082777193,1.4780612829907387,0.976530685858705,0.5090334934894374,2.006021948304566,4.048589020628495,2.2227183909166874,6.585633371326818
