"","Year","Month","Day","Trial","Flow","Ablation","Darkness","Frame","Fish","X","Y","BL_X","BL_Y"
"119",2020,7,28,10,"Still Water","No Ablation","Light",14,"7",1137.482125,787.821686,5.89368976683938,4.08197764766839
"120",2020,7,28,10,"Still Water","No Ablation","Light",14,"8",1082.142976,603.8959609,5.60695842487047,3.12899461606218
"121",2020,7,28,10,"Still Water","No Ablation","Light",15,"1",1304.578172,437.8056139,6.75947239378238,2.26842286994819
"122",2020,7,28,10,"Still Water","No Ablation","Light",15,"2",1192.708555,617.4994963,6.17983707253886,3.19947925544041
"123",2020,7,28,10,"Still Water","No Ablation","Light",15,"3",843.2090625,654.1008085,4.36895887305699,3.38912336010363
"124",2020,7,28,10,"Still Water","No Ablation","Light",15,"4",1543.60216,897.4515502,7.99793865284974,4.65000803212435
"125",2020,7,28,10,"Still Water","No Ablation","Light",15,"5",969.8353157,288.5635631,5.0250534492228,1.49514799533679
"126",2020,7,28,10,"Still Water","No Ablation","Light",15,"6",1278.342833,801.5943637,6.62353799481865,4.15333867202073
"127",2020,7,28,10,"Still Water","No Ablation","Light",15,"7",1131.359638,786.682138,5.86196703626943,4.07607325388601
"128",2020,7,28,10,"Still Water","No Ablation","Light",15,"8",1095.699673,607.8820987,5.67720037823834,3.14964817979275
"129",2020,7,28,10,"Still Water","No Ablation","Light",16,"1",1300.351381,441.1721308,6.73757192227979,2.2858659626943
"130",2020,7,28,10,"Still Water","No Ablation","Light",16,"2",1198.931013,620.228042,6.21207778756477,3.21361679792746
"131",2020,7,28,10,"Still Water","No Ablation","Light",16,"3",845.8284481,644.8103142,4.38253081917098,3.34098608393782
"132",2020,7,28,10,"Still Water","No Ablation","Light",16,"4",1548.840621,898.5102944,8.02508093782383,4.65549375336788
"133",2020,7,28,10,"Still Water","No Ablation","Light",16,"5",966.9161527,293.2885394,5.00992825233161,1.51962973782383
"134",2020,7,28,10,"Still Water","No Ablation","Light",16,"6",1276.959597,803.2610995,6.61637096891192,4.16197460880829
"135",2020,7,28,10,"Still Water","No Ablation","Light",16,"7",1125.356169,785.4370926,5.83086097927461,4.06962224145078
"136",2020,7,28,10,"Still Water","No Ablation","Light",16,"8",1108.489085,607.8820987,5.74346676165803,3.14964817979275
"137",2020,7,28,10,"Still Water","No Ablation","Light",17,"1",1295.96593,443.6986373,6.71484937823834,2.29895666994819
"138",2020,7,28,10,"Still Water","No Ablation","Light",17,"2",1205.126559,618.7074578,6.24417906217617,3.20573812331606
"139",2020,7,28,10,"Still Water","No Ablation","Light",17,"3",848.2134672,636.8348911,4.39488843108808,3.29966264818653
"140",2020,7,28,10,"Still Water","No Ablation","Light",17,"4",1554.217586,902.4398554,8.05294086010363,4.67585417305699
"141",2020,7,28,10,"Still Water","No Ablation","Light",17,"5",964.0245473,297.6601471,4.99494584093264,1.54228055492228
"142",2020,7,28,10,"Still Water","No Ablation","Light",17,"6",1275.272944,805.2247511,6.60763183419689,4.17214896943005
"143",2020,7,28,10,"Still Water","No Ablation","Light",17,"7",1119.526642,784.3668278,5.8006561761658,4.06407682797927
"144",2020,7,28,10,"Still Water","No Ablation","Light",17,"8",1120.303624,607.8820987,5.8046819896373,3.14964817979275
"145",2020,7,28,10,"Still Water","No Ablation","Light",18,"1",1291.539853,445.2585655,6.69191633678756,2.30703919948187
"146",2020,7,28,10,"Still Water","No Ablation","Light",18,"2",1211.270266,618.7074578,6.27601174093264,3.20573812331606
"147",2020,7,28,10,"Still Water","No Ablation","Light",18,"3",850.2900228,633.6510491,4.4056477865285,3.28316605751295
"148",2020,7,28,10,"Still Water","No Ablation","Light",18,"4",1558.734121,904.261358,8.07634259585492,4.68529201036269
"149",2020,7,28,10,"Still Water","No Ablation","Light",18,"5",961.1504419,300.3317567,4.98005410310881,1.55612309170984
"150",2020,7,28,10,"Still Water","No Ablation","Light",18,"6",1271.615139,807.0066574,6.58867947668394,4.18138164455959
"151",2020,7,28,10,"Still Water","No Ablation","Light",18,"7",1113.92598,783.7516216,5.77163720207254,4.06088923108808
"152",2020,7,28,10,"Still Water","No Ablation","Light",18,"8",1131.440643,606.3093033,5.86238675129534,3.14149898082902
"153",2020,7,28,10,"Still Water","No Ablation","Light",19,"1",1287.191185,446.0518462,6.66938437823834,2.31114946217617
"154",2020,7,28,10,"Still Water","No Ablation","Light",19,"2",1217.337207,618.7074578,6.30744666839378,3.20573812331606
"155",2020,7,28,10,"Still Water","No Ablation","Light",19,"3",851.9840175,626.5336474,4.4144249611399,3.24628832849741
"156",2020,7,28,10,"Still Water","No Ablation","Light",19,"4",1562.506194,905.6215839,8.09588701554404,4.69233981295337
"157",2020,7,28,10,"Still Water","No Ablation","Light",19,"5",958.2831471,300.8511553,4.96519765336788,1.5588142761658
"158",2020,7,28,10,"Still Water","No Ablation","Light",19,"6",1267.497432,807.5026836,6.56734420725389,4.18395172849741
"159",2020,7,28,10,"Still Water","No Ablation","Light",19,"7",1108.583593,783.6987652,5.74395644041451,4.06061536373057
"160",2020,7,28,10,"Still Water","No Ablation","Light",19,"8",1142.076868,605.0685376,5.9174967253886,3.13507014300518
"161",2020,7,28,10,"Still Water","No Ablation","Light",20,"1",1283.03796,447.5844058,6.64786507772021,2.31909018549223
"162",2020,7,28,10,"Still Water","No Ablation","Light",20,"2",1223.302455,620.1924565,6.33835468911917,3.21343241709845
"163",2020,7,28,10,"Still Water","No Ablation","Light",20,"3",853.3341263,618.9971758,4.42142034352332,3.20723925284974
"164",2020,7,28,10,"Still Water","No Ablation","Light",20,"4",1565.9285,906.4085821,8.11361917098446,4.6964175238342
"165",2020,7,28,10,"Still Water","No Ablation","Light",20,"5",955.4094482,302.3437954,4.95030802176166,1.5665481626943
"166",2020,7,28,10,"Still Water","No Ablation","Light",20,"6",1264.599593,807.5026836,6.55232949740933,4.18395172849741
"167",2020,7,28,10,"Still Water","No Ablation","Light",20,"7",1103.426832,783.6236021,5.71723747150259,4.06022591761658
"168",2020,7,28,10,"Still Water","No Ablation","Light",20,"8",1151.906519,604.8772114,5.96842755958549,3.13407881554404
"169",2020,7,28,10,"Still Water","No Ablation","Light",21,"1",1279.214879,451.1969514,6.62805636787565,2.33780803834197
"170",2020,7,28,10,"Still Water","No Ablation","Light",21,"2",1229.146803,620.1924565,6.36863628497409,3.21343241709845
