,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Fish1_Speed,Fish2_Speed,Speed_Diff,Sync
0,2022,06,10,08,N,N,0,individual2xindividual3,0,2.696414128811443,-1.1218801497892947,2.920490408226883,-22.57103434851826,104.30888188616997,1.731009692237215,1.4050470162914048,0.3259626759458099,0.3034968763284123
1,2022,06,10,08,N,N,0,individual2xindividual3,1,3.0063733053298414,-1.4359600731875937,3.3317055366266684,-25.416618422409908,93.45442486669971,3.4989708611505543,2.207244139913841,1.291726721236712,0.2531992196539692
2,2022,06,10,08,N,N,0,individual2xindividual3,2,3.753920089850674,-1.795557609331325,4.161242983702359,-25.47575079439893,157.47378547202504,4.159275444399557,1.7409510666125827,2.418324377786975,0.29737533177602105
3,2022,06,10,08,N,N,0,individual2xindividual3,3,4.294628583347892,-2.4072526193685877,4.923281410031896,-29.22055703433143,141.05239504537494,0.8547961679445591,2.109077975194561,-1.2542818072500017,0.49607905881518977
4,2022,06,10,08,N,N,0,individual2xindividual3,4,4.613203204227528,-2.854194077282924,5.424764292970899,-31.75229401107961,106.2384987630018,2.14699826922541,1.5280106720441136,0.6189875971812961,0.7978074929572375
5,2022,06,10,08,N,N,0,individual2xindividual3,5,5.264309315386278,-3.345089003472163,6.237192718620544,-32.413768807007486,101.09216240226432,2.2317217815496435,1.5909531477931906,0.6407686337564525,0.8538301088224349
6,2022,06,10,08,N,N,0,individual2xindividual3,6,5.929384912428949,-3.8199647851948653,7.053349303690333,-32.800710380124684,99.24039744671636,2.4419760338617453,1.3388029191932755,1.1031731146684698,0.6385685160629695
7,2022,06,10,08,N,N,0,individual2xindividual3,7,6.806463636362426,-4.287549913758506,8.044316720274917,-32.22143132882335,111.06900513107426,2.838584742572153,1.5118553868216027,1.3267293557505504,0.4729984905495571
0,2022,06,10,08,N,N,0,individual2xindividual4,0,-1.5605597411510175,-4.188177857244246,4.469472057146384,-110.42034852406289,161.79243557674647,1.731009692237215,0.8001261078258225,0.9308835844113922,0.960392403159098
1,2022,06,10,08,N,N,0,individual2xindividual4,1,-1.7571441758579476,-4.264805456972395,4.612604604838032,-112.41552885747255,155.07167402519698,3.4989708611505543,0.9228085472022984,2.5761623139482546,0.8897314029849612
2,2022,06,10,08,N,N,0,individual2xindividual4,2,-1.3149398749616514,-4.1722914438531165,4.3745951546644966,-107.54848049071047,144.5355242700847,4.159275444399557,0.9035482642250552,3.2557271801745022,0.8749827375173752
3,2022,06,10,08,N,N,0,individual2xindividual4,3,-0.7010188127428756,-4.219633507605043,4.27746821312826,-99.41573907130312,141.5294923750933,0.8547961679445591,1.3788340672895278,-0.5240378993449688,0.9580843743029737
4,2022,06,10,08,N,N,0,individual2xindividual4,4,-0.4136766819138601,-4.102844038547988,4.123646153807092,-95.76720493855271,119.03517913246198,2.14699826922541,1.5962104051189392,0.550787864106471,0.9945120338565969
5,2022,06,10,08,N,N,0,individual2xindividual4,5,0.13090478102842926,-4.132668126139811,4.134740850707338,-88.24357077763794,88.29993703904229,2.2317217815496435,0.9237999820097054,1.3079217995399377,0.9560962708527735
6,2022,06,10,08,N,N,0,individual2xindividual4,6,0.948213758798916,-4.151488762640452,4.25839973214182,-77.13995738770619,117.9910951440406,2.4419760338617453,0.702836436946769,1.7391395969149763,0.9580635401462168
7,2022,06,10,08,N,N,0,individual2xindividual4,7,1.737754886274543,-4.213210227348385,4.557513846891096,-67.66485216225469,114.99867325683792,2.838584742572153,0.35165660960142975,2.4869281329707236,0.8319546812779247
0,2022,06,10,08,N,N,0,individual5xindividual2,0,-0.22907419571409715,1.4270856247177104,1.4453540629956378,99.39546191032132,22.851591624329476,1.8909210687632083,1.731009692237215,0.15991137652599374,0.7401078778594653
