,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X,Y,Heading,Speed,TB_Frequency,Fish_Length
12,1995,09,07,02,S,S,0,individual1,12,1718.8403806842105,137.35487460000004,-162.93432934761745,1.2411808316995285,1.016949152542373,1.016949152542373
13,1995,09,07,02,S,S,0,individual1,13,1637.7261818947368,125.04148314210526,-177.4363532757976,1.7062115518380112,3.5294117647058827,3.5294117647058827
0,1995,09,07,02,S,S,0,individual2,0,1686.4406315789474,501.3957368421053,125.78538075865009,2.046798497130212,6.691729323308271,6.691729323308271
1,1995,09,07,02,S,S,0,individual2,1,1594.6496842105266,572.3112105263158,139.74350509122397,1.9423229888805043,1.4285714285714284,1.4285714285714284
2,1995,09,07,02,S,S,0,individual2,2,1516.5100526315791,638.2478421052631,143.03206904505376,1.5169760052919157,1.5639097744360901,1.5639097744360901
3,1995,09,07,02,S,S,0,individual2,3,1446.690842105263,669.8402631578947,-178.77704791796594,1.8004354534423335,3.491833030852995,3.491833030852995
4,1995,09,07,02,S,S,0,individual2,4,1362.5609473684212,612.7447894736841,-158.7262996525841,1.5914487558541488,2.0689655172413794,2.0689655172413794
5,1995,09,07,02,S,S,0,individual2,5,1286.3861052631578,578.023105263158,-137.68699816044494,1.356885355594362,3.491833030852994,3.491833030852994
6,1995,09,07,02,S,S,0,individual2,6,1256.004157894737,508.8932631578948,-113.06493900060987,1.216437333020056,2.3967611336032384,2.3967611336032384
7,1995,09,07,02,S,S,0,individual2,7,1243.7333684210528,441.7824736842105,-91.0054971252879,1.2518603839987892,2.3611336032388657,2.3611336032388657
8,1995,09,07,02,S,S,0,individual2,8,1245.4005789473683,379.16647368421053,-77.5829655262743,1.1263396670392325,2.599445983379501,2.599445983379501
9,1995,09,07,02,S,S,0,individual2,9,1272.59278636801,328.94017206772634,-58.39530544336977,1.432417845956012,3.2040627885503232,3.2040627885503232
10,1995,09,07,02,S,S,0,individual2,10,1326.8799895691548,286.45370897347857,-43.745003944088566,1.4416747119096534,3.859649122807018,3.859649122807018
11,1995,09,07,02,S,S,0,individual2,11,1394.8936315789474,258.939052631579,-16.068665215351896,1.6147100809570532,2.9473684210526314,2.9473684210526314
12,1995,09,07,02,S,S,0,individual2,12,1468.6450526315791,,,,2.121883656509695,2.121883656509695
13,1995,09,07,02,S,S,0,individual2,13,1554.926842105263,251.1203157894737,3.119914938425843,1.5762334416553274,3.157894736842105,3.157894736842105
0,1995,09,07,02,S,S,0,individual3,0,1180.5275263157894,583.8071052631578,168.90254255770367,1.2010335505157592,3.157894736842105,3.157894736842105
1,1995,09,07,02,S,S,0,individual3,1,1111.114947368421,589.985894736842,170.52733153259388,1.003893495497461,2.976580206497104,2.976580206497104
2,1995,09,07,02,S,S,0,individual3,2,1054.8225263157894,596.7055263157895,175.59310755820917,0.8973323451681151,2.7614490772385505,2.7614490772385505
3,1995,09,07,02,S,S,0,individual3,3,1003.8050526315791,601.1026842105264,,,2.5563909774436087,2.5563909774436087
4,1995,09,07,02,S,S,0,individual3,4,,,,,0.9523809523809523,0.9523809523809523
5,1995,09,07,02,S,S,0,individual3,5,,612.936947368421,,,0.9523809523809523,0.9523809523809523
6,1995,09,07,02,S,S,0,individual3,6,895.741105263158,611.1906842105263,-173.00677610673716,0.4556865212718338,0.9523809523809523,0.9523809523809523
7,1995,09,07,02,S,S,0,individual3,7,,,,,8.571428571428571,8.571428571428571
8,1995,09,07,02,S,S,0,individual3,8,,,,,2.8947368421052633,2.8947368421052633
9,1995,09,07,02,S,S,0,individual3,9,809.1298421052632,618.3531578947369,166.88663143383306,0.44148806299956506,2.3684210526315788,2.3684210526315788
10,1995,09,07,02,S,S,0,individual3,10,786.1663157894736,635.8318421052631,145.305559174081,0.6241767464766985,2.2910216718266256,2.2910216718266256
11,1995,09,07,02,S,S,0,individual3,11,757.6701578947369,647.6198947368422,140.9303433436886,0.9096637001818767,3.4458204334365323,3.4458204334365323
12,1995,09,07,02,S,S,0,individual3,12,891.2202631578948,698.3243157894736,15.82454171419681,3.8668712791689788,3.0557275541795668,3.0557275541795668
13,1995,09,07,02,S,S,0,individual3,13,1046.4643684210525,717.8320526315789,-7.222412501786702,2.4999627852883246,3.5294117647058827,3.5294117647058827
0,1995,09,07,02,S,S,0,individual4,0,1133.426052631579,187.1050526315789,28.225174660652964,1.7324941285843867,4.962406015037595,4.962406015037595
1,1995,09,07,02,S,S,0,individual4,1,1223.6254210526317,242.1903684210526,37.96410132742819,1.7133990739624356,3.984962406015038,3.984962406015038
2,1995,09,07,02,S,S,0,individual4,2,1244.8225789473684,330.18810526315787,106.05065166905938,1.8263774358815128,3.7359792924935284,3.7359792924935284
3,1995,09,07,02,S,S,0,individual4,3,,,,,0.9836065573770489,0.9836065573770489
4,1995,09,07,02,S,S,0,individual4,4,1114.1991578947366,429.31626315789475,164.8309464358006,1.1240643231356342,0.9836065573770489,0.9836065573770489
5,1995,09,07,02,S,S,0,individual4,5,1047.5522105263158,419.2756315789473,-172.45315508288928,1.393692392678162,0.9836065573770489,0.9836065573770489
6,1995,09,07,02,S,S,0,individual4,6,975.7341578947367,419.22057894736844,179.00443305849802,1.0479499156990437,2.6816220880069026,2.6816220880069026
7,1995,09,07,02,S,S,0,individual4,7,917.5620526315789,417.6733684210526,-177.51216023948865,0.8164091610259802,3.417956656346749,3.417956656346749
8,1995,09,07,02,S,S,0,individual4,8,871.5122105263158,414.12136842105264,-174.07776539383934,0.8264895416283548,2.9279080053073856,2.9279080053073856
9,1995,09,07,02,S,S,0,individual4,9,827.6289473684211,409.2641052631579,-172.75461002322461,0.6741088396172541,2.4233661075766335,2.4233661075766335
10,1995,09,07,02,S,S,0,individual4,10,795.9781578947368,389.44789473684204,-123.5936493113919,1.3770786090764333,2.484357747515642,2.484357747515642
11,1995,09,07,02,S,S,0,individual4,11,802.1078421052631,310.20915789473685,-67.88364286605729,1.6024427147583222,2.368421052631579,2.368421052631579
12,1995,09,07,02,S,S,0,individual4,12,876.4112105263159,269.8005789473684,-28.95496365201371,1.3337887204465972,1.3636363636363635,1.3636363636363635
13,1995,09,07,02,S,S,0,individual4,13,937.8562631578948,234.47589473684206,-16.581936262793764,1.1753902993753673,1.3636363636363635,1.3636363636363635
0,1995,09,07,02,S,S,0,individual5,0,1310.6812105263157,341.48631578947374,-24.647467072775157,0.9665454549436074,9.842105263157896,9.842105263157896
1,1995,09,07,02,S,S,0,individual5,1,,,,,2.242105263157895,2.242105263157895
2,1995,09,07,02,S,S,0,individual5,2,,,,,1.2,1.2
3,1995,09,07,02,S,S,0,individual5,3,1476.719947368421,308.63421052631577,62.57427906169674,1.7475470205726336,1.2,1.2
4,1995,09,07,02,S,S,0,individual5,4,1496.7155263157892,388.8793157894737,87.10150931577104,1.6322647853231564,2.3121281464530896,2.3121281464530896
5,1995,09,07,02,S,S,0,individual5,5,1489.3948947368422,481.99284210526315,107.4774309065838,1.7185638278863848,2.8352402745995424,2.8352402745995424
6,1995,09,07,02,S,S,0,individual5,6,1455.546,574.1906315789473,130.97913184508442,1.9171308085737884,2.635627530364372,2.635627530364372
7,1995,09,07,02,S,S,0,individual5,7,1357.065789473684,611.9637368421052,155.3270763866719,1.87653890456046,5.101214574898785,5.101214574898785
8,1995,09,07,02,S,S,0,individual5,8,1261.5110000000002,634.9902631578947,-178.93710938864945,1.7271559854903682,6.31578947368421,6.31578947368421
9,1995,09,07,02,S,S,0,individual5,9,1139.842894736842,620.6751578947369,-170.60904340584,2.45091313940262,4.272445820433436,4.272445820433436
10,1995,09,07,02,S,S,0,individual5,10,1007.4356692845594,605.3794090607072,-173.44838787488266,1.9013778572111946,3.3729835424474497,3.3729835424474497
11,1995,09,07,02,S,S,0,individual5,11,,,,,2.926653016981814,2.926653016981814
12,1995,09,07,02,S,S,0,individual5,12,822.9695789473684,595.9718421052631,-178.07839383548327,1.262398904129642,2.5106243870545937,2.5106243870545937
13,1995,09,07,02,S,S,0,individual5,13,753.551947368421,590.9912631578947,-175.52492778019317,1.0041693992238927,2.1428571428571432,2.1428571428571432
0,1995,09,07,02,S,S,0,individual6,0,,,,,2.2222222222222223,2.2222222222222223
1,1995,09,07,02,S,S,0,individual6,1,,,,,1.822849807445443,1.822849807445443
2,1995,09,07,02,S,S,0,individual6,2,1137.0939866892593,127.58702282016918,178.354800957211,1.0625770832596404,1.4634146341463417,1.4634146341463417
3,1995,09,07,02,S,S,0,individual6,3,1073.782,136.4314736842105,171.20400973704528,1.1155233236540942,1.9768934531450575,1.9768934531450575
4,1995,09,07,02,S,S,0,individual6,4,1015.8560526315789,143.9262105263158,172.6945002585581,0.9897571743474247,3.0921052631578947,3.0921052631578947
5,1995,09,07,02,S,S,0,individual6,5,952.748947368421,169.06552631578947,157.5718887743044,1.5112822207954373,3.500692520775623,3.500692520775623
6,1995,09,07,02,S,S,0,individual6,6,,198.9906315789474,,,2.343829498558426,2.343829498558426
7,1995,09,07,02,S,S,0,individual6,7,,,,,1.2244897959183672,1.2244897959183672
8,1995,09,07,02,S,S,0,individual6,8,,,,,1.2244897959183672,1.2244897959183672
9,1995,09,07,02,S,S,0,individual6,9,,,,,1.1840525683957792,1.1840525683957792
10,1995,09,07,02,S,S,0,individual6,10,623.3495789473685,279.314,167.3693826652036,0.808035190976688,1.1764705882352942,1.1764705882352942
11,1995,09,07,02,S,S,0,individual6,11,575.9730526315789,291.7077894736842,162.0023406507278,0.9484653486708566,1.3854489164086687,1.3854489164086687
12,1995,09,07,02,S,S,0,individual6,12,528.3858947368421,299.2821052631579,160.12763499318444,0.7831498348462431,2.5,2.5
13,1995,09,07,02,S,S,0,individual6,13,487.3945263157895,315.58736842105264,146.2876523231852,1.1854590351895824,2.7033492822966503,2.7033492822966503
0,1995,09,07,02,S,S,0,individual7,0,812.2098947368421,196.06226315789476,-178.08164637115317,0.5259962439620135,1.7647058823529413,1.7647058823529413
1,1995,09,07,02,S,S,0,individual7,1,779.2233157894738,198.60984210526314,163.5896274456331,0.555253105160831,1.7647058823529413,1.7647058823529413
2,1995,09,07,02,S,S,0,individual7,2,747.1785789473685,204.24536842105263,162.79187878013843,0.5558690483824461,3.799973078476241,3.799973078476241
3,1995,09,07,02,S,S,0,individual7,3,712.2544736842107,,,,2.608695652173913,2.608695652173913
4,1995,09,07,02,S,S,0,individual7,4,639.5132105263159,264.15831578947365,145.74638863352968,1.6993774816783371,3.5294117647058827,3.5294117647058827
5,1995,09,07,02,S,S,0,individual7,5,,,,,3.5758513931888545,3.5758513931888545
6,1995,09,07,02,S,S,0,individual7,6,606.7283684210527,449.01110526315784,93.12513749572263,1.5210227733169204,3.9473684210526323,3.9473684210526323
7,1995,09,07,02,S,S,0,individual7,7,840.4904511945314,414.29959777637424,25.436489218860306,10.040753786398257,5.5517826825127345,5.5517826825127345
8,1995,09,07,02,S,S,0,individual7,8,1029.5724210526319,340.6221052631579,150.8191568893908,2.095460784633373,1.9354838709677422,1.9354838709677422
9,1995,09,07,02,S,S,0,individual7,9,918.7442631578947,385.775,161.30532918650297,1.924195368217389,2.3811544991511036,2.3811544991511036
10,1995,09,07,02,S,S,0,individual7,10,828.7183684210526,416.60110526315793,152.4791500268502,1.4530145681112743,2.141148325358852,2.141148325358852
11,1995,09,07,02,S,S,0,individual7,11,764.6416315789473,443.9023684210526,149.82505643741047,0.9969711423038239,1.8181818181818183,1.8181818181818183
12,1995,09,07,02,S,S,0,individual7,12,707.4457368421054,465.8284736842105,159.56608718654277,1.0345042272078973,3.1691528285955535,3.1691528285955535
13,1995,09,07,02,S,S,0,individual7,13,639.6914210526317,457.85236842105263,-163.3650807211527,1.6714715574397752,3.353973168214655,3.353973168214655
0,1995,09,07,02,S,S,0,individual8,0,668.096888194737,484.6135054473683,55.22089320561593,0.4250343024330869,3.9473684210526314,3.9473684210526314
1,1995,09,07,02,S,S,0,individual8,1,681.8273920578947,495.7528819789474,-18.1852244938061,0.3962773068272432,0.9375,0.9375
2,1995,09,07,02,S,S,0,individual8,2,697.9567616684211,490.1411705263159,-40.76280516485806,0.5082811834546905,0.9375,0.9375
3,1995,09,07,02,S,S,0,individual8,3,703.4215090789475,479.16282001052633,77.53800385934997,0.6528030711240886,1.0981243001119818,1.0981243001119818
4,1995,09,07,02,S,S,0,individual8,4,709.8335963157894,521.974393336842,79.42593309644913,0.5337144673186995,1.2765957446808511,1.2765957446808511
5,1995,09,07,02,S,S,0,individual8,5,714.994278631579,543.4422428368421,64.23285149957697,0.5157535443436623,1.2765957446808511,1.2765957446808511
6,1995,09,07,02,S,S,0,individual8,6,707.3623548684212,569.1014805842105,55.12099225541542,0.42404006475929473,1.1764705882352942,1.1764705882352942
